Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
543,SHATTER HOUSE,COLUMBUS,1216 PARSONS AVE,14,5,1,0,0,0,2,1,0
544,SHEETZ #714,REYNOLDSBURG,2700 BRICE RD,7,2,0,0,0,0,6,5,0
545,SHEETZ #720,NEW ALBANY,6229 E DUBLIN GRANVILLE RD,4,5,3,0,1,0,13,1,0
546,SHEETZ #722,GROVEPORT,3999 S HAMILTON RD,12,5,1,0,0,0,14,1,1
547,SHEETZ #723,COLUMBUS,2840 JOHNSTOWN RD,9,5,2,0,1,0,29,1,1
548,SHEETZ #724,COLUMBUS,975 E DUBLIN GRANVILLE RD,4,2,0,0,0,0,13,5,0
549,SHEETZ #725,COLUMBUS,1555 POLARIS PKWY,1,4,2,1,0,1,4,6,0
550,SHEETZ #738,COLUMBUS,1485 N CASSADY AVE,7,3,1,0,0,0,14,1,1
551,SHEETZ #757,COLUMBUS,930 HILLIARD ROME RD,5,4,1,1,0,0,3,6,0
552,SHEETZ #758,COLUMBUS,920 POLARIS PKWY,1,0,0,0,0,0,0,20,1
553,SHEETZ #767,COLUMBUS,1380 BETHEL RD,2,4,1,0,0,1,23,1,0
554,SHEETZ #825 - HIGH CROSS,COLUMBUS,161 E CAMPUS VIEW BLVD,2,1,1,1,0,1,24,15,0
555,SHEETZ #849 - WALCUTT,COLUMBUS,4881 ROBERTS RD,5,5,0,0,0,0,30,1,1
556,SHEETZ #862,COLUMBUS,7480 SAWMILL RD,1,3,1,0,0,0,26,1,1
557,SHEETZ #882,COLUMBUS,5757 W BROAD ST,11,0,0,0,0,0,33,20,1
558,SHELL,COLUMBUS,4751 E MAIN ST,11,4,0,0,0,0,32,1,1
559,SHELL HUDSON AND I-71,COLUMBUS,666 E HUDSON ST,6,5,1,0,0,0,11,1,0
560,S-HI CARRYOUT,COLUMBUS,3250 S HIGH ST,12,3,0,0,0,0,8,1,0
561,SHOBIS MARKET,COLUMBUS,1650 PARSONS AVE,13,2,0,0,0,0,34,5,1
562,SHOP 614,COLUMBUS,1949 ZETTLER CENTER DR,11,3,0,0,0,0,31,1,1
563,SILVER SMILE,COLUMBUS,5346 SINCLAIR RD,4,2,0,0,0,0,10,5,0
564,SIRENS,COLUMBUS,6190 CLEVELAND AVE,3,4,2,0,0,1,12,1,0
565,SMART STOP DRIVE THRU,COLUMBUS,6830 REFUGEE RD,12,4,1,0,0,0,31,1,1
566,SMOKE & CELLULAR EXPRESS,COLUMBUS,910 E HUDSON ST,6,3,0,0,0,0,21,1,1
567,SMOKE 2 VAPE & TOBACCO,DUBLIN,7650 SAWMILL RD,1,2,1,0,0,1,25,5,0
